(priced#positive)(dinner#positive)(lunch#positive),(food#positive)(price#positive),"both are very reasonably priced (around $8 for dinner and $5 for lunch), and are delicious and filling."
,(anecdotes/miscellaneous#negative),Problem is nothing at Prune is particularly memorable.
(Ambience#positive),(ambience#positive),"Ambience is so cute and quaint, good for business although we were there on vacation."
(portion sizes#positive)(sushi#positive),(food#positive),"The portion sizes here are huge, and the sushi is good."
,(anecdotes/miscellaneous#neutral),Just wish they'd expand.
(tuna#positive),(food#positive),My boyfriend ate tuna and it was cooked perfectly!
(menu#neutral)(pad thai#neutral)(tom yum soup#neutral),(food#positive),"This wasn't the expected menu comprised only of pad thai and tom yum soup, but I thought that was what made the place so special."
(food#positive),(food#positive)(price#negative),"Good food at the restaurant (a bit expensive, but great if you want to impress your date)."
(caviar#positive)(service#positive),(food#positive)(service#positive),I highly recommend Caviar Russe to anyone who wants delicious top grade caviar and fantastic service.
(food#conflict),(price#conflict),You can't say its cheap because food is cheaper in Chinatown.
(food#positive),(food#positive),I have eaten there 3-4 times and the food was always good.
,(anecdotes/miscellaneous#positive),keep up the good work.
(wait#negative),(anecdotes/miscellaneous#neutral),"I wasn't thrilled to have to wait on line for thirty minutes, but I guess that's the price you pay for a popular place."
(eats#positive),(anecdotes/miscellaneous#positive)(food#positive),"great eats, good times."
,(anecdotes/miscellaneous#positive),Make sure you try this place as often as you can.
(fish#positive),(food#positive),"Grilled whole fish wonderful, great spicing."
(Tuscan cuisine#conflict)(Neapolitan fare#positive),(food#positive),"For years, I thought Tuscan cuisine was the best, but Salvatore converted me to the hearty Neapolitan fare on my first visit."
(entrees#negative)(summer rolls#positive)(owner#positive),(service#positive),"Plus, when our entrees were held up in the kitchen on a busy Saturday night, the owner sent over complimentary summer rolls to hold us over!"
(service#positive),(service#positive),The service was great as well.
(lobster teriyaki#positive)(rose special roll#positive),(food#positive),Try the lobster teriyaki and the rose special roll.
(entrees#positive),(anecdotes/miscellaneous#positive),Another plus is most of the entrees are approx.
,(anecdotes/miscellaneous#positive),I will go back to Suan soon!
,(anecdotes/miscellaneous#positive),Loved it!
(food#positive)(atmosphere#positive),(food#positive)(ambience#positive),"The food was delicious, the atmosphere was relaxed, and we have now adopted Plate 347 as our Secret on Second!"
,(anecdotes/miscellaneous#positive),We were pleasantly surprised.
(place#negative),(service#positive)(ambience#negative),From the moment we walked in they were more than accomodating even though the place was packed.
,(ambience#negative),"It is LOUD, HOT and DARK."
(food#positive)(service#positive)(value#positive),(food#positive)(service#positive)(price#positive),"I found the food, service and value exceptional everytime I have been there."
(foods#negative),(anecdotes/miscellaneous#negative)(food#negative),We ate at this Thai place following the reviews but very unhappy with the foods.
(food#positive),(food#conflict)(anecdotes/miscellaneous#conflict),"The food is definitely good, but I left a bit disappointed."
(glass of wine#neutral)(glass of beer#neutral)(dinner#neutral),(anecdotes/miscellaneous#negative)(food#negative),"I am a 100 lb girl, had a glass of wine and a glass of beer prior to the dinner, and I was still HUNGRY after my visit to this place!"
(drinks#positive)(service staff#negative),(food#positive)(service#negative),"The drinks are a saving grace, but service staff, please, get over yourselves."
,(anecdotes/miscellaneous#positive),It was wonderful.
(delivery guys#negative),(service#negative),There is a downside if you're ordering in -- the delivery guys have MAJOR attitude.
,(anecdotes/miscellaneous#neutral),Will give it another chance before I write it off.
(staff#positive),(service#positive),The all-Italian staff is warm and engaging from the start.
,(anecdotes/miscellaneous#positive),Village is one of those places that scores on all fronts.
(prices#positive)(food#positive),(price#positive)(food#positive),The prices are exceptionally reasonable for food of this caliber.
(Tamarind Margaritas#positive),(food#positive),If you go here - your focus should be the Tamarind Margaritas.
,(anecdotes/miscellaneous#positive),It is the best hidden spot there and I rave about it to everyone.
(filet mignon dish#positive),(food#positive),The filet mignon dish was superb!
(food#positive)(getting a table#positive),(anecdotes/miscellaneous#positive)(food#positive)(service#positive),I had been a regular due to the consistently good food and ease of getting a table.
,(anecdotes/miscellaneous#positive),Can't wait wait for my next visit.
(place#positive),(ambience#positive),This place is the most Japanese it can ever get.
(food#positive),(food#positive),"The food is good, I can't lie."
(food#positive),(food#positive),"great food, lt's of it, more then one person can eat!"
(pastrami on challah sandwich#positive)(soups#positive)(knishes#positive),(food#positive),"I didn't expect to like Nosh as much as I did, but the pastrami on challah sandwich I had was otherworldly, the soups are like Mom's, and the knishes give Yonah Schimmel's a run for its money."
(atmosphere#neutral),(ambience#neutral),"The atmosphere is nothing special, but it feels like a Sushi establishment in Tokyo."
(atomosphere#positive)(tables#positive),(ambience#positive),Cozy romantic atomosphere with only around 15 tables at most.
(beer#positive),(food#positive),This place is worth going even if only for their beer.
(scallops#positive)(mahi mahi (on saffron risotto#positive),(food#positive),I really like both the scallops and the mahi mahi (on saffron risotto-yum!).
(ambience#positive)(prices#positive)(food#positive),(food#positive)(ambience#positive)(price#positive),"The ambience was so fun, and the prices were great, on top of the fact that the food was really tasty."
(Go Go Hamburgers#negative),(food#negative),"Do not get the Go Go Hamburgers, no matter what the reviews say."
(sandwhiches#positive),(food#positive),The sandwhiches are out-of-this world!
(Thia food#positive),(anecdotes/miscellaneous#positive),"If you live in Upper Manhattan, Siam Square is THE place for Thia food."
(Decor#positive),(ambience#positive),Decor is charming.
(food#positive),(food#positive),The food was very well prepared.
(spring rolls#positive)(noodles#positive)(price#positive),(food#positive)(price#positive),Really tasty spring rolls and noodles for a good price though.
,(anecdotes/miscellaneous#negative),Stay away from this place.
(dim sum#negative)(food#positive)(portions#negative)(dishes#neutral)(dish#neutral),(food#conflict),"Good, because hey, it's more food, but bad because dim sum is supposed to be smaller portions so you can try out more dishes and smaller so that each dish is cheap."
(drinks#negative)(bars#negative)(drinks#positive),(food#conflict)(price#negative),"While most people can attest to spending over $50 on drinks in New York bars and hardly feeling a thing, the drinks here are plentiful and unique."
(stuff#positive)(waiter#positive)(dessert#positive)(staff#positive),(service#positive),"Complimentary stuff kept coming, and when the waiter saw me opening a gift, I received my dessert on a plate that had Happy Birthday written on it, with a candlevery nice touch, and attentive staff."
(food#negative),(food#negative)(service#negative),"The food arrived 20 minutes after I called, cold and soggy."
(pre-theatre menu#positive),(price#positive),"If you go for the pre-theatre menu, it's an even greater deal."
,(service#neutral),"The one up front will smile and say What can I get for you, brother?"
